name,is_private,accept,enroll,fail,pass,graduation_rate
Concordia University CA,Yes,497,144,641,101,55
Concordia University,Yes,403,186,1168,145,75
Connecticut College,Yes,1546,438,1630,232,91
Converse College,Yes,407,149,643,80,75
Cornell College,Yes,1329,383,1140,10,64
Creighton University,Yes,2836,876,3450,644,85
Culver-Stockton College,Yes,1110,274,992,112,51
Cumberland College,Yes,789,398,1306,122,63
D'Youville College,Yes,619,157,1074,336,46
Dana College,Yes,482,185,550,84,54
Daniel Webster College,Yes,508,153,460,536,72
Dartmouth College,Yes,2273,1087,3918,32,98
Davidson College,Yes,956,452,1601,6,94
Defiance College,Yes,461,174,645,283,56
Delta State University,No,945,459,2806,538,58
Denison University,Yes,2279,533,1835,14,81
DePauw University,Yes,1656,495,1983,36,82
Dickinson College,Yes,2539,487,1889,62,87
Dickinson State University,No,412,319,1376,237,46
Dillard University,Yes,1376,651,1539,45,61
Doane College,Yes,709,244,1022,411,60
Dominican College of Blauvelt,Yes,329,108,756,863,54
Dordt College,Yes,562,328,1048,56,87
Dowling College,Yes,829,410,1059,2458,42
Drake University,Yes,2573,839,3322,726,77
Drew University,Yes,1580,321,1192,87,83
Drury College,Yes,650,314,1065,48,67
Duke University,Yes,3893,1583,6188,53,97
Earlham College,Yes,1006,274,1028,13,78
East Carolina University,No,6362,2435,13171,1687,58
East Tennessee State University,No,2730,1303,6706,2640,42
East Texas Baptist University,Yes,341,265,1050,151,38
Eastern College,Yes,369,165,1057,355,54
Eastern Connecticut State University,No,1493,564,2766,1531,50
Eastern Illinois University,No,4253,1565,9161,845,76
Eastern Mennonite College,Yes,440,227,903,59,82
Eastern Nazarene College,Yes,409,200,1238,30,70
Eckerd College,Yes,1109,366,1363,23,59
Elizabethtown College,Yes,1843,426,1476,299,81
Elmira College,Yes,1045,345,1109,502,64
Elms College,Yes,208,125,544,436,86
Elon College,Yes,2786,858,2933,334,63
Embry Riddle Aeronautical University,Yes,2584,958,4772,856,44
Emory & Henry College,Yes,646,226,809,32,82
Emory University,Yes,4168,1236,5544,192,96
Emporia State University,No,1256,853,3957,588,50
Erskine College,Yes,557,167,532,35,67
Eureka College,Yes,454,113,484,16,53
Evergreen State College,No,1101,438,3065,363,68
Fairfield University,Yes,3346,781,2984,1037,94
Fayetteville State University,No,1064,452,2632,617,24
Ferrum College,Yes,1107,336,1051,82,22
Flagler College,Yes,714,338,1345,44,69
Florida Institute of Technology,Yes,1580,523,1863,233,57
Florida International University,No,2079,1071,10208,9310,66
Florida Southern College,Yes,1040,374,1506,970,68
Florida State University,No,8683,3023,18906,3242,58
Fontbonne College,Yes,245,126,981,337,62
Fordham University,Yes,2874,942,4740,1646,80
Fort Lewis College,No,2823,1123,3793,486,46
Francis Marion University,No,1655,819,3224,436,43
Franciscan University of Steubenville,Yes,452,228,1301,242,83
Franklin College,Yes,632,281,840,68,60
Franklin Pierce College,Yes,4471,446,1818,1197,51
Freed-Hardeman University,Yes,548,314,1174,50,62
Fresno Pacific College,Yes,274,146,704,63,54
Furman University,Yes,1951,685,2371,175,82
Gannon University,Yes,1908,678,2693,691,65
Gardner Webb University,Yes,930,332,1603,374,29
Geneva College,Yes,534,237,1306,258,74
George Fox College,Yes,726,294,1271,43,52
George Mason University,No,4326,1727,9528,3822,46
George Washington University,Yes,5062,1492,5471,1470,72
Georgetown College,Yes,693,286,1063,48,55
Georgetown University,Yes,2881,1390,5881,406,95
Georgia Institute of Technology,No,4527,2276,8528,654,70
Georgia State University,No,2341,1238,7732,9054,34
Georgian Court College,Yes,281,127,1095,785,76
Gettysburg College,Yes,2466,575,1944,46,83
Goldey Beacom College,Yes,468,284,823,963,36
Gonzaga University,Yes,1524,526,2523,296,69
Gordon College,Yes,565,282,1151,39,66
Goshen College,Yes,396,221,910,166,72
Goucher College,Yes,813,248,850,80,77
Grace College and Seminary,Yes,428,167,618,113,64
Graceland College,Yes,414,242,996,2281,47
Grand Valley State University,No,3887,1561,8234,2619,57
Green Mountain College,Yes,628,198,545,42,76
Greensboro College,Yes,494,176,649,314,39
Greenville College,Yes,387,194,771,53,60
Grinnell College,Yes,1389,432,1333,30,83
Grove City College,Yes,1110,573,2213,35,100
Guilford College,Yes,1054,326,1410,299,65
Gustavus Adolphus College,Yes,1385,634,2281,50,80
Gwynedd Mercy College,Yes,237,104,716,1108,96
Hamilton College,Yes,1783,454,1646,24,91
Hamline University,Yes,825,328,1362,102,65
Hampden - Sydney College,Yes,644,307,945,1,69
Hampton University,Yes,3755,1433,4623,740,70
Hanover College,Yes,837,317,1024,15,64
Hardin-Simmons University,Yes,424,350,1365,334,38
Harding University,Yes,1068,806,3128,213,73
Hartwick College,Yes,1725,430,1464,67,73
Harvard University,Yes,2165,1606,6862,320,100
Harvey Mudd College,Yes,572,178,654,5,100
Hastings College,Yes,708,262,935,37,52
Hendrix College,Yes,721,274,954,6,63
Hillsdale College,Yes,745,347,1133,42,79
Hiram College,Yes,729,244,1000,275,79
Hobart and William Smith Colleges,Yes,2081,500,1792,5,79
Hofstra University,Yes,5860,1349,6534,1350,60
Hollins College,Yes,498,215,795,74,72
Hood College,Yes,565,176,710,399,72
Hope College,Yes,1483,624,2505,208,72
Houghton College,Yes,786,302,1210,26,67
Huntingdon College,Yes,520,127,538,126,44
Huntington College,Yes,430,125,488,43,47
Huron University,Yes,197,124,392,69,21
Husson College,Yes,652,361,951,706,84
Illinois Benedictine College,Yes,558,269,1222,519,75
Illinois College,Yes,787,262,909,28,52
Illinois Institute of Technology,Yes,1360,478,1911,626,56
Illinois State University,No,6695,2408,15701,1823,54
Illinois Wesleyan University,Yes,1342,471,1818,23,83
Immaculata College,Yes,253,103,494,1305,69
Incarnate Word College,Yes,927,386,1685,556,95
Indiana State University,No,4761,3147,8596,1949,40
Indiana University at Bloomington,No,13243,5873,24763,2717,68
Indiana Wesleyan University,Yes,423,366,2448,707,34
Iona College,Yes,3530,913,3906,1446,66
Iowa State University,No,7424,3441,18676,1715,65
Ithaca College,Yes,5526,1368,5612,166,75
James Madison University,No,5285,2082,9652,742,98
Jamestown College,Yes,410,262,9950,71,54
Jersey City State College,No,1423,691,3817,1394,26
John Brown University,Yes,405,284,961,99,75
John Carroll University,Yes,2109,820,3168,392,89
Johns Hopkins University,Yes,3446,911,3566,1569,90
Johnson State College,No,669,279,1224,345,36
Judson College,Yes,228,137,552,67,56
Juniata College,Yes,859,298,1075,43,80
Kansas State University,No,4075,2833,14914,2246,54
Kansas Wesleyan University,Yes,575,148,474,258,68
Keene State College,No,2446,822,3480,776,61
Kentucky Wesleyan College,Yes,497,175,662,121,62
Kenyon College,Yes,1538,408,1445,1,88
Keuka College,Yes,381,174,738,55,51
King's College,Yes,1053,381,500,541,87
King College,Yes,300,142,509,44,65
Knox College,Yes,845,286,967,24,79
La Roche College,Yes,321,185,650,819,52
La Salle University,Yes,1834,622,2738,1662,84
Lafayette College,Yes,2402,572,2018,226,92
LaGrange College,Yes,399,177,600,363,75
Lake Forest College,Yes,638,271,968,20,77
Lakeland College,Yes,452,231,887,1957,57
Lamar University,No,1725,1043,5438,4058,26
Lambuth University,Yes,538,224,840,325,60
Lander University,No,1009,510,2074,341,51
Lawrence University,Yes,947,324,1129,74,77
Le Moyne College,Yes,1199,425,1820,558,94
Lebanon Valley College,Yes,1060,320,965,502,85
Lehigh University,Yes,4304,1092,4298,132,91
Lenoir-Rhyne College,Yes,743,259,1188,166,66
Lesley College,Yes,198,82,1134,336,58
LeTourneau University,Yes,417,204,1532,77,56
Lewis and Clark College,Yes,2092,482,1763,59,69
Lewis University,Yes,1050,395,2192,1423,61
Lincoln Memorial University,Yes,562,363,925,605,53
Lincoln University,No,1091,326,1196,33,45
Lindenwood College,Yes,484,356,2155,191,100
Linfield College,Yes,1188,458,1548,840,81
Livingstone College,Yes,473,217,621,11,92
Lock Haven University of Pennsylvania,No,2215,651,3390,325,63
Longwood College,No,1870,724,2874,118,62
Loras College,Yes,1283,527,1663,170,70
Louisiana College,Yes,1053,212,912,158,59
Louisiana State University at Baton Rouge,No,4993,3079,16269,3757,37
Louisiana Tech University,No,2144,1525,6720,1822,45
Loyola College,Yes,3137,738,3010,184,80
Loyola Marymount University,Yes,2662,753,3558,436,84
Loyola University,Yes,1698,719,2740,761,53
Loyola University Chicago,Yes,2959,868,5244,3417,65
Luther College,Yes,1392,587,2269,85,77
Lycoming College,Yes,1005,363,1363,74,72
Lynchburg College,Yes,1500,366,1524,280,70
Lyndon State College,No,502,223,959,150,51
Macalester College,Yes,1496,452,1723,113,77
MacMurray College,Yes,558,177,628,63,59
Malone College,Yes,758,428,1605,246,55
Manchester College,Yes,802,239,909,51,64
Manhattan College,Yes,1730,563,2578,254,79
Manhattanville College,Yes,750,212,830,150,70
Mankato State University,No,2672,1547,9649,1792,68
Marian College of Fond du Lac,Yes,670,337,1160,653,59
Marietta College,Yes,960,342,1089,210,96
Marist College,Yes,3171,830,3557,658,69
Marquette University,Yes,4600,1685,7016,804,77
Marshall University,Yes,3666,2007,7703,2339,50
Mary Baldwin College,Yes,441,199,846,377,90
Mary Washington College,No,2178,756,2997,736,84
Marymount College Tarrytown,Yes,327,117,731,370,77
Marymount Manhattan College,Yes,535,239,988,785,68
Marymount University,Yes,772,214,1247,776,55
Maryville College,Yes,888,176,624,128,51
Maryville University,Yes,397,169,1343,1751,61
Marywood College,Yes,859,323,1452,402,66
Massachusetts Institute of Technology,Yes,2140,1078,4481,28,94
Mayville State University,No,233,153,658,58,51
McKendree College,Yes,555,119,836,684,52
McMurry University,Yes,411,187,880,477,32
McPherson College,Yes,293,93,336,80,48
Mercer University,Yes,1668,564,2943,1260,91
Mercyhurst College,Yes,1074,397,1805,433,78
Meredith College,Yes,772,376,1721,470,82
Merrimack College,Yes,1541,514,1927,1084,80
Mesa State College,No,1456,891,3471,911,59
Messiah College,Yes,1382,607,2258,53,89
Miami University at Oxford,No,7788,3290,13606,807,85
Michigan State University,No,15096,6180,26640,4120,71
Michigan Technological University,No,2288,1032,5524,414,65
MidAmerica Nazarene College,Yes,331,225,1100,166,49
Millersville University of Penn.,No,3075,960,5146,1532,71
Milligan College,Yes,461,189,685,49,64
Millikin University,Yes,1261,456,1788,95,75
Millsaps College,Yes,834,319,1073,179,58
Milwaukee School of Engineering,Yes,1088,496,1773,884,67
Mississippi College,Yes,385,307,1695,721,61
Mississippi State University,No,3277,1609,10094,1621,53
Mississippi University for Women,No,405,380,1673,1014,63
Missouri Southern State College,No,1326,913,3689,2200,100
Missouri Valley College,Yes,983,316,1057,175,27
Monmouth College IL,Yes,503,204,671,11,56
Monmouth College,Yes,1881,478,1893,847,54
Montana College of Mineral Sci. & Tech.,No,544,320,1470,416,74
Montana State University,No,2836,1779,8730,993,37
Montclair State University,No,2128,865,6411,3186,58
Montreat-Anderson College,Yes,223,103,316,20,15
Moorhead State University,No,2164,1189,5983,1075,60
Moravian College,Yes,955,303,1241,485,74
Morehouse College,Yes,1678,722,2852,153,83
Morningside College,Yes,533,239,950,228,56
Morris College,Yes,730,330,926,12,60
Mount Holyoke College,Yes,1314,526,1891,40,84
Mount Marty College,Yes,276,126,600,435,44
Mount Mary College,Yes,217,121,931,487,78
Mount Mercy College,Yes,317,159,806,542,64
Mount Saint Clare College,Yes,284,95,364,88,21
Mount Saint Mary's College,Yes,1159,328,1243,79,80
Mount Saint Mary College,Yes,695,238,1170,429,88
Mount St. Mary's College,Yes,537,113,1039,466,72
Mount Union College,Yes,1086,458,1365,144,81
Mount Vernon Nazarene College,Yes,485,334,1114,94,58
Muhlenberg College,Yes,1836,462,1656,352,83
Murray State University,No,1910,1190,5968,955,52
Muskingum College,Yes,922,375,1115,70,73
National-Louis University,Yes,347,279,2508,505,71
Nazareth College of Rochester,Yes,798,266,1274,471,61
New Jersey Institute of Technology,No,1216,483,3311,1646,72
New Mexico Institute of Mining and Tech.,No,601,233,1017,411,34
New York University,Yes,7244,2505,12408,2814,71
Newberry College,Yes,722,154,601,36,83
Niagara University,Yes,1796,467,1919,334,65
North Adams State College,No,1005,240,1380,136,57
North Carolina A. & T. State University,No,3089,1429,6162,871,44
North Carolina State University at Raleigh,No,7064,3176,16505,5481,62
North Carolina Wesleyan College,Yes,689,195,646,84,52
North Central College,Yes,884,308,1310,766,76
North Dakota State University,No,2297,1610,7368,1128,42
North Park College,Yes,361,176,879,156,74
Northeast Missouri State University,No,4577,1620,5640,266,76
Northeastern University,Yes,8492,2517,11160,10221,46
Northern Arizona University,No,4931,1973,11249,2682,41
Northern Illinois University,No,7219,2397,14826,1979,56
Northwest Missouri State University,No,2535,1257,4787,472,54
Northwest Nazarene College,Yes,514,385,1115,60,58
Northwestern College,Yes,811,366,1040,52,68
Northwestern University,Yes,5200,1902,7450,45,92
Norwich University,Yes,1625,626,1862,382,63
Notre Dame College,Yes,324,107,500,311,33
Oakland University,No,2581,1173,6441,3982,53
Oberlin College,Yes,2767,678,2587,120,83
Occidental College,Yes,1319,370,1686,35,79
Oglethorpe University,Yes,649,186,769,377,67
Ohio Northern University,Yes,2342,669,2502,66,83
Ohio University,No,8298,3183,14861,1310,64
Ohio Wesleyan University,Yes,1700,458,1780,48,75
Oklahoma Baptist University,Yes,681,484,1707,705,50
Oklahoma Christian University,Yes,765,351,1419,228,45
Oklahoma State University,No,3913,2181,12830,1658,48
Otterbein College,Yes,1205,428,1648,936,87
Ouachita Baptist University,Yes,773,450,1310,61,65
Our Lady of the Lake University,Yes,1336,295,1202,942,37
Pace University,Yes,3750,1522,5809,4379,62
Pacific Lutheran University,Yes,1392,504,2580,302,83
Pacific Union College,Yes,668,385,1316,139,69
Pacific University,Yes,849,288,1041,35,42
Pembroke State University,No,774,440,2174,529,48
Pennsylvania State Univ. Main Campus,No,10344,3450,28938,2025,63
Pepperdine University,Yes,2037,680,2488,625,66
Peru State College,No,501,458,959,457,44
Pfeiffer College,Yes,651,159,654,162,48
Philadelphia Coll. of Textiles and Sci.,Yes,1259,468,1664,1042,68
Phillips University,Yes,576,174,597,83,39
Piedmont College,Yes,562,127,641,63,31
Pikeville College,Yes,400,169,797,100,61
Pitzer College,Yes,630,220,750,30,73
Point Loma Nazarene College,Yes,687,428,1889,217,54
Point Park College,Yes,744,207,1173,1402,66
Polytechnic University,Yes,847,302,1379,214,62
Prairie View A. and M. University,No,2234,1061,4564,448,35
Presbyterian College,Yes,832,302,1133,30,85
Princeton University,Yes,2042,1153,4540,146,99
Providence College,Yes,3346,973,3717,1358,96
Purdue University at West Lafayette,No,18744,5874,26213,4065,67
Queens College,Yes,392,154,630,549,58
Quincy University,Yes,707,297,1070,72,80
Quinnipiac College,Yes,2153,806,2677,714,86
Radford University,No,4894,1742,8077,472,62
Ramapo College of New Jersey,No,957,362,2745,1938,47
Randolph-Macon College,Yes,1325,306,1071,27,74
Randolph-Macon Woman's College,Yes,616,169,653,56,68
Reed College,Yes,1436,327,1199,61,68
Regis College,Yes,385,143,581,533,84
Rensselaer Polytechnic Institute,Yes,4165,936,4291,16,70
Rhodes College,Yes,1831,391,1345,59,77
Rider University,Yes,2424,730,2748,1309,70
Ripon College,Yes,501,211,735,28,64
Rivier College,Yes,386,141,590,1196,81
Roanoke College,Yes,1790,437,1460,239,72
Rockhurst College,Yes,858,345,1127,754,79
Rocky Mountain College,Yes,392,270,743,118,68
Roger Williams University,Yes,2804,679,2111,1489,61
Rollins College,Yes,1151,382,1668,1052,90
Rosary College,Yes,321,141,624,269,81
Rowan College of New Jersey,No,1431,695,5303,3942,51
Rutgers at New Brunswick,No,26330,4520,21401,3712,77
Rutgers State University at Camden,No,1752,232,2585,1300,57
Rutgers State University at Newark,No,2690,499,4005,1886,58
Sacred Heart University,Yes,1896,509,1707,1889,82
Saint Ambrose University,Yes,718,276,1345,390,70
Saint Anselm College,Yes,1553,514,1873,94,97
Saint Cloud State University,No,3306,1921,11493,2206,58
Saint Francis College IN,Yes,166,85,513,247,48
Saint Francis College,Yes,824,284,1223,451,69
Saint John's University,Yes,800,444,1691,72,70
Saint Joseph's College IN,Yes,684,225,815,222,67
Saint Joseph's College,Yes,682,217,716,2196,85
Saint Joseph's University,Yes,2003,776,2473,1314,83
Saint Joseph College,Yes,241,96,543,712,76
Saint Louis University,Yes,2855,956,4576,1140,67
Saint Mary's College,Yes,734,393,1433,27,98
Saint Mary's College of Minnesota,Yes,802,367,1263,118,78
Saint Mary-of-the-Woods College,Yes,130,88,341,768,75
Saint Michael's College,Yes,1380,463,1715,106,84
Saint Olaf College,Yes,1673,745,2888,105,83
Saint Peter's College,Yes,1413,530,1921,1154,53
Saint Vincent College,Yes,595,278,1035,182,88
Saint Xavier University,Yes,647,295,1670,726,55
Salem-Teikyo University,Yes,384,120,700,45,98
Salem College,Yes,284,132,534,216,60
Salisbury State University,No,2290,736,4296,1027,56
Samford University,Yes,1395,691,2959,402,61
San Diego State University,No,7020,2151,16407,5550,41
Santa Clara University,Yes,2779,888,3891,128,100
Sarah Lawrence College,Yes,768,263,1000,105,83
Savannah Coll. of Art and Design,Yes,688,386,1897,208,55
Schreiner College,Yes,413,131,521,99,52
Scripps College,Yes,632,139,569,7,73
Seattle Pacific University,Yes,1016,411,1922,704,66
Seattle University,Yes,1540,494,2993,347,89
Seton Hall University,Yes,3565,1000,4384,1530,64
Seton Hill College,Yes,794,197,752,210,71
Shippensburg University of Penn.,No,3281,1116,5268,300,72
Shorter College,Yes,445,165,1115,111,58
Siena College,Yes,1932,628,2669,616,100
Siena Heights College,Yes,419,183,686,287,47
Simmons College,Yes,782,295,1144,160,79
Simpson College,Yes,872,300,1116,602,70
Sioux Falls College,Yes,400,211,614,271,48
Skidmore College,Yes,2728,591,2322,263,81
Smith College,Yes,1598,632,2479,95,90
South Dakota State University,No,2589,1701,7000,1103,67
Southeast Missouri State University,No,1870,1408,6553,1246,45
Southeastern Oklahoma State Univ.,No,700,447,2962,651,53
Southern California College,Yes,340,193,784,127,43
Southern Illinois University at Edwardsville,No,2195,994,6063,2550,43
Southern Methodist University,Yes,3455,1166,4892,387,72
Southwest Baptist University,Yes,1093,642,1770,967,71
Southwest Missouri State University,No,5254,3204,13131,3374,56
Southwest State University,No,938,511,2091,546,51
Southwestern Adventist College,Yes,318,172,620,280,36
Southwestern College,Yes,155,75,504,147,52
Southwestern University,Yes,912,352,1177,43,67
Spalding University,Yes,201,97,589,263,89
Spelman College,Yes,1237,443,1971,107,65
Spring Arbor College,Yes,362,181,1501,353,49
St. Bonaventure University,Yes,1313,375,1688,131,78
St. John's College,Yes,278,122,393,4,64
St. John Fisher College,Yes,1064,354,1687,677,66
St. Lawrence University,Yes,1820,505,1801,45,85
St. Martin's College,Yes,165,63,494,574,40
St. Mary's College of California,Yes,1611,465,2615,248,78
St. Mary's College of Maryland,No,695,285,1315,209,63
St. Mary's University of San Antonio,Yes,1020,414,2149,418,72
St. Norbert College,Yes,1243,568,1946,95,88
St. Paul's College,Yes,581,243,617,34,45
St. Thomas Aquinas College,Yes,609,215,1117,815,67
Stephens College,Yes,405,194,614,388,59
Stetson University,Yes,1227,489,1964,81,73
Stevens Institute of Technology,Yes,1249,380,1263,11,79
Stockton College of New Jersey,No,1579,710,4365,765,64
Stonehill College,Yes,2300,585,2022,926,97
SUNY at Albany,No,9198,1843,10168,1231,74
SUNY at Binghamton,No,6166,1757,8544,671,80
SUNY at Buffalo,No,9649,3087,13963,3124,56
SUNY at Stony Brook,No,6969,1724,9744,1351,57
SUNY College  at Brockport,No,3564,904,5758,1363,49
SUNY College  at Oswego,No,4556,1464,6943,869,63
SUNY College at Buffalo,No,3515,1025,7626,2091,42
SUNY College at Cortland,No,3519,1036,5011,346,53
SUNY College at Fredonia,No,2798,814,4123,298,66
SUNY College at Geneseo,No,4562,1143,5060,146,76
SUNY College at New Paltz,No,3609,656,4658,1478,53
SUNY College at Plattsburgh,No,3583,853,5004,475,65
SUNY College at Potsdam,No,2289,650,3598,234,59
SUNY College at Purchase,No,1264,390,2478,1441,46
Susquehanna University,Yes,1512,465,1442,166,90
Sweet Briar College,Yes,402,146,527,41,61
Syracuse University,Yes,7260,2442,10142,117,67
Tabor College,Yes,183,109,396,38,53
Talladega College,Yes,1500,335,908,119,46
Taylor University,Yes,1092,437,1757,81,98
Tennessee Wesleyan College,Yes,182,99,402,237,36
Texas A&M Univ. at College Station,No,10519,6392,31643,2798,69
Texas A&M University at Galveston,No,481,243,1206,134,43
Texas Christian University,Yes,3079,1195,5064,660,64
Texas Lutheran College,Yes,423,215,895,429,50
Texas Southern University,No,3245,2604,5584,3101,10
Texas Wesleyan University,Yes,501,279,1204,392,43
The Citadel,No,1242,611,2024,292,84
Thiel College,Yes,951,253,791,140,60
Tiffin University,Yes,734,254,662,351,39
Transylvania University,Yes,729,244,867,51,70
Trenton State College,No,2312,944,5167,902,81
Tri-State University,Yes,1102,276,978,98,65
Trinity College CT,Yes,1798,478,1737,244,91
Trinity College DC,Yes,189,100,309,639,96
Trinity College VT,Yes,185,91,484,541,78
Trinity University,Yes,1818,601,2110,95,93
